Genre,B.Number,Opus,Date,Czech.Title,English.Title,Instrumentation,Remarks
Chamber music,49,77,1875,Smy_cov_ kvintet _. 2 G dur,String Quintet No. 2 in G major,"for 2 violins, viola, cello and double bass",formerly Op. 18
Vocal,50,20,1875,Moravsk_ dvojzp_vy,Moravian Duets,"for soprano (or alto), tenor and piano",4 songs
Chamber music,51,21,1875,Klav’rn’ trio _. 1 B dur,Piano Trio No. 1 in B_ major,"for violin, cello and piano",
Orchestral,52,22,1875,Smy_cov‡ seren‡da E dur,Serenade for Strings in E major,for string orchestra,
Chamber music,53,23,1875,Klav’rn’ kvartet _. 1 D dur,Piano Quartet No. 1 in D major,"for violin, viola, cello and piano",
Orchestral,54,76,1875,Symfonie _. 5 F dur,Symphony No. 5 in F major,for orchestra,formerly Op. 24
Opera,55,25,1875,Vanda,Vanda,,tragic opera in 5 acts
Chamber music,56,26,1876,Klav’rn’ trio _. 2 g moll,Piano Trio No. 2 in G minor,"for violin, cello and piano",
Chamber music,57,80,1876,Smy_cov_ kvartet _. 8 E dur,String Quartet No. 8 in E major,"for 2 violins, viola and cello",formerly Op. 27
Piano,58,28,1876,Dva menuety,2 Minuets,for piano,
Choral,59,29,c.1876,_ty_i sbory pro sm’_en_ hlasy,4 Choruses,for mixed chorus,
Vocal,60,32,1876,Moravsk_ dvojzp_vy,Moravian Duets,"for soprano, alto and piano",5 songs; Part I
Vocal,61,31,1876,Ve_ern’ p’sn_,Evening Songs,for voice and piano,after poems by V’t_zslav H‡lek
Vocal,62,32,1876,Moravsk_ dvojzp_vy,Moravian Duets,"for soprano, alto and piano",9 songs; Part II
Concertante,63,33,1876,Koncert pro klav’r a orchestr g moll,Piano Concerto in G minor,for piano and orchestra,
Piano,64,35,1876,Dumka d moll,Dumka in D minor,for piano,
Piano,65,36,1876,Tema con variazioni,Theme and Variations,for piano,
Choral,66,_,1877,Sborov_ p’sn_ pro mu_sk_ hlasy,Choral Songs,for male voices,
Opera,67,37,1877,_elma sedl‡k,The Cunning Peasant,,comic opera in 2 acts; libretto by Josef Otakar Vesel_
Orchestral,67a,37,1877,"_elma sedl‡k, p_edehra k ope_e",Overture to The Cunning Peasant,for orchestra,overture to the opera B. 67
Vocal,68,19b,1877,Ave Maria,Ave Maria,for alto or baritone and organ,
Vocal,69,38,1877,Moravsk_ dvojzp_vy,Moravian Duets,"for soprano, alto and piano",4 songs
Orchestral,70,78,1877,Symfonick_ variace z p’sn_ ãJ‡ jsem husla_Ò,Symphonic Variations,for orchestra,formerly Op. 28
Choral,71,58,1876_1877,Stabat Mater,Stabat Mater,"for soprano, alto, tenor, bass, chorus and orchestra",
Choral,72,_,1877,Kytice z _esk_ch n‡rodn’ch p’sn’,Bouquet of Czech Folksongs,for male chorus,
Choral,73,_,1877,P’se_ _echa,Song of a Czech,for male chorus,
Piano,74,41,1877,Skotsk_ tance,Scottish Dances,for piano,
Chamber music,75,34,1877,Smy_cov_ kvartet _. 9 d moll,String Quartet No. 9 in D minor,"for 2 violins, viola and cello",dedicated to Johannes Brahms
Choral,76,43,1877_1878,Z kytice n‡rodn’ch p’sn’ slovansk_ch,From a Bouquet of Slavonic Folksongs,for male chorus and piano 4-hands,
Chamber music,77,44,1878,Seren‡da pro dechov_ n‡stroje d moll,Serenade in D minor for Wind Instruments,for wind ensemble,
Piano,78,46,1878,Slovansk_ tance 1. _ada,"Slavonic Dances, Series I",for piano 4-hands,
Chamber music,79,47,1878,Mali_kosti,Bagatelles,"for 2 violins, cello and harmonium or piano",
Chamber music,80,48,1878,Smy_cov_ sextet A dur,String Sextet in A major,"for 2 violins, 2 violas and 2 cellos",
Chamber music,81,24,1878,Capriccio pro housle a klav’r,Capriccio,for violin and piano,
Vocal,82,_,1878,Hymnus k Nejsv_t_j_’ Trojici,Hymnus ad Laudus in festo Sanctae Trinitatis,for voice and organ,
Orchestral,83,46,1878,Slovansk_ tance 1. _ada,"Slavonic Dances, Series I",for orchestra,orchestration of B. 78
Vocal,84a,50,1878,T_i novo_eck_ b‡sn_,3 Modern Greek Songs,for voice and piano,
Vocal,84b,50,1878,T_i novo_eck_ b‡sn_,3 Modern Greek Songs,for voice and piano,
Piano,85,42,1878,Dva furianty,2 Furiants,for piano,
Orchestral,86,45,1878,Slovansk_ rapsodie,,,
D dur,,,,,,,
g moll,,,,,,,
As dur,,,,,,,
3 Slavonic Rhapsodies,,,,,,,
D major,,,,,,,
G minor,,,,,,,
A_ major,,,,,,,
for orchestra,,,,,,,
Choral,87,27,1878,P_t sbor_ pro mu_sk_ hlasy,5 Choruses,for male voices,
Orchestral,88,54,1879,Slavnostn’ pochod,Festival March,for orchestra,
Chamber music,89,49,1879,Mazurek pro housle a klav’r,Mazurek in E minor,for violin and piano,
Concertante,90,49,1879,Mazurek pro housle a orchestr,Mazurek in E minor,for violin and orchestra,
Choral,91,79,1879,_alm _. 149,Psalm 149,for male chorus and orchestra,1st version
Chamber music,92,51,1878_1879,Smy_cov_ kvartet _. 10 Es dur ãSlovansk_Ò,"String Quartet No. 10 in E_ major ""Slavonic""","for 2 violins, viola and cello",
Orchestral,93,39,1879,_esk‡ suita D dur,Czech Suite in D major,for orchestra,
Chamber music,94,_,1879,Polon_za A dur pro violoncello a klav’r,Polonaise in A major,for cello and piano,
Vocal,95a,19b,1879,Ave maris stella,Ave maris stella,for voice and organ,
Vocal,95b,19a,1879,O sanctissima dulcis virgo Maria!,O sanctissima dulcis virgo Maria!,"for alto, baritone and organ",
Vocal,95b bis,19a,1879,O sanctissima dulcis virgo Maria!,O sanctissima dulcis virgo Maria!,"for soprano, alto and organ",version of B. 95b
Concertante,96,53,1879,Koncert pro housle a orchestr a moll,Violin Concerto in A minor,for violin and orchestra,first of 2 versions; second version B. 108
Orchestral,97,25,1879,"Vanda, koncertn’ ouvertura",Vanda,for orchestra,concert overture to the opera B. 55
Piano,98,8,1879,Dvan‡ct silhouett,12 Silhouettes,for piano,
Orchestral,99,_,1879,Pra_sk_ val_’ky,Prague Waltzes,for orchestra,
Orchestral,100,_,1879,Polon_za Es dur,Polonaise in E_ major,for orchestra,
Piano,101,54,1879_1880,Osm val_’k_,8 Waltzes,for piano,orchestrated by Jarmil Burghauser
Choral,102,30,1880,D_dicov_ b’l_ hory,The Heirs of the White Mountain,for chorus and orchestra,1st rrevision of B. 27
Piano,103,-56,1880,_ty_i eklogy,4 Eclogues,for piano,
Vocal,104,55,1880,Cig‡nsk_ melodie,Gypsy Songs,for voice and piano,"7 songs after poems by Adolf Heyduk; includes ""Songs My Mother Taught Me"""
Chamber music,105,54,1880,Dva val_’ky,2 Waltzes,for string quartet,arrangement of nos. 1 and 4 from B. 101
Chamber music,106,57,1880,Sonata F dur pro housle a klav’r,Violin Sonata in F major,for violin and piano,
Choral,107,32,1880,Moravsk_ dvojzp_vy,Moravian Duets,for female chorus,
