Opus.Number,Burghauser.Catalog.Number,Composed.Year,Czech.Title,English.Title,Instrumentation,Premiere.Date,Premiere.Place,Premiere.Performers,Main .Key,Parts.Mvmts,Duration.mins,Genre,Notes
26,56,1876,KlavÍrnÍ trio _. 2 g moll,Piano Trio No. 2 in G minor,"for violin, cello and piano",,,,,,,Chamber Music,
80,57,1876,Smy_cov_ kvartet _. 8 E dur,String Quartet No. 8 in E major,"for 2 violins, viola and cello",,,,,,,Chamber Music,
28,58,1876,Dva menuety,2 Minuets,for piano,,,,,,,Piano,
29,59,1876,_ty_i sbory pro smÍ_en_ hlasy,4 Choruses,for mixed chorus,,,,,,,Choral,
32,60,1876,Moravsk_ dvojzp_vy,Moravian Duets,"for soprano, alto and piano",,,,,,,Vocal,
31,61,1876,Ve_ernÍ pÍsn_,Evening Songs,for voice and piano,,,,,,,Vocal,
32,62,1876,Moravsk_ dvojzp_vy,Moravian Duets,"for soprano, alto and piano",,,,,,,Vocal,
33,63,1876,Koncert pro klavÍr a orchestr g moll,Piano Concerto in G minor,for piano and orchestra,,,,,,,Concertante,
35,64,1876,Dumka d moll,Dumka in D minor,for piano,,,,,,,Piano,
36,65,1876,Tema con variazioni,Theme and Variations,for piano,,,,,,,Piano,
0,66,1877,Sborov_ pÍsn_ pro mu_sk_ hlasy,Choral Songs,for male voices,,,,,,,Choral,
37,67,1877,_elma sedlˆk,The Cunning Peasant,,,,,,,,Opera,
37,67a,1877,"_elma sedlˆk, p_edehra k ope_e",Overture to The Cunning Peasant,Orchestral,,,,,,,Orchestral,
19b,68,1877,Ave Maria,Ave Maria,for alto or baritone and organ,,,,,,,Vocal,
38,69,1877,Moravsk_ dvojzp_vy,Moravian Duets,"for soprano, alto and piano",,,,,,,Vocal,
78,70,1877,Symfonick_ variace z pÍsn_ ÜJˆ jsem husla_–,Symphonic Variations,Orchestral,,,,,,,Orchestral,
58,71,1876,Stabat Mater,Stabat Mater,"for soprano, alto, tenor, bass, chorus and orchestra",,,,,,,Choral,
0,72,1877,Kytice z _esk_ch nˆrodnÍch pÍsnÍ,Bouquet of Czech Folksongs,for male chorus,,,,,,,Choral,
0,73,1877,PÍse_ _echa,Song of a Czech,for male chorus,,,,,,,Choral,
41,74,1877,Skotsk_ tance,Scottish Dances,for piano,,,,,,,Piano,
34,75,1877,Smy_cov_ kvartet _. 9 d moll,String Quartet No. 9 in D minor,"for 2 violins, viola and cello",,,,,,,Chamber Music,
43,76,1877,Z kytice nˆrodnÍch pÍsnÍ slovansk_ch,From a Bouquet of Slavonic Folksongs,for male chorus and piano 4-hands,,,,,,,Choral,
44,77,1878,Serenˆda pro dechov_ nˆstroje d moll,Serenade in D minor for Wind Instruments,for wind ensemble,,,,,,,Chamber Music,
46,78,1878,Slovansk_ tance 1. _ada,"Slavonic Dances, Series I",for piano 4-hands,,,,,,,Piano,
47,79,1878,Mali_kosti,Bagatelles,"for 2 violins, cello and harmonium or piano",,,,,,,Chamber Music,
48,80,1878,Smy_cov_ sextet A dur,String Sextet in A major,"for 2 violins, 2 violas and 2 cellos",,,,,,,Chamber Music,
24,81,1878,Capriccio pro housle a klavÍr,Capriccio,for violin and piano,,,,,,,Chamber Music,
0,82,1878,Hymnus k Nejsv_t_j_Í Trojici,Hymnus ad Laudus in festo Sanctae Trinitatis,for voice and organ,,,,,,,Vocal,
46,83,1878,Slovansk_ tance 1. _ada,"Slavonic Dances, Series I",Orchestral,,,,,,,Orchestral,
50,84a,1878,T_i novo_eck_ bˆsn_,3 Modern Greek Songs,for voice and piano,,,,,,,Vocal,
50,84b,1878,T_i novo_eck_ bˆsn_,3 Modern Greek Songs,for voice and piano,,,,,,,Vocal,
42,85,1878,Dva furianty,2 Furiants,for piano,,,,,,,Piano,
45,86,1878,Slovansk_ rapsodie,,,,,,,,,Orchestral,
,,1850,,,,,,,D dur,,,Chamber Music,
,,1850,,,,,,,g moll,,,Chamber Music,
,,1850,,,,,,,As dur,,,Chamber Music,
,,1850,,3 Slavonic Rhapsodies,,,,,,,,Chamber Music,
,,1850,,,,,,,D major,,,Chamber Music,
,,1850,,,,,,,G minor,,,Chamber Music,
,,1850,,,,,,,A0 major,,,Chamber Music,
,,1850,,,,,,,,,,Orchestral,
27,87,1878,P_t sbor_ pro mu_sk_ hlasy,5 Choruses,for male voices,,,,,,,Choral,
54,88,1879,SlavnostnÍ pochod,Festival March,Orchestral,,,,,,,Orchestral,
49,89,1879,Mazurek pro housle a klavÍr,Mazurek in E minor,for violin and piano,,,,,,,Chamber Music,
49,90,1879,Mazurek pro housle a orchestr,Mazurek in E minor,for violin and orchestra,,,,,,,Concertante,
79,91,1879,_alm _. 149,Psalm 149,for male chorus and orchestra,,,,,,,Choral,
51,92,1878,Smy_cov_ kvartet _. 10 Es dur ÜSlovansk_–,"String Quartet No. 10 in E_ major ""Slavonic""","for 2 violins, viola and cello",,,,,,,Chamber Music,
39,93,1879,_eskˆ suita D dur,Czech Suite in D major,Orchestral,,,,,,,Orchestral,
0,94,1879,Polon_za A dur pro violoncello a klavÍr,Polonaise in A major,for cello and piano,,,,,,,Chamber Music,
19b,95a,1879,Ave maris stella,Ave maris stella,for voice and organ,,,,,,,Vocal,
19a,95b,1879,O sanctissima dulcis virgo Maria!,O sanctissima dulcis virgo Maria!,"for alto, baritone and organ",,,,,,,Vocal,
19a,95b bis,1879,O sanctissima dulcis virgo Maria!,O sanctissima dulcis virgo Maria!,"for soprano, alto and organ",,,,,,,Vocal,
53,96,1879,Koncert pro housle a orchestr a moll,Violin Concerto in A minor,for violin and orchestra,,,,,,,Concertante,
25,97,1879,"Vanda, koncertnÍ ouvertura",Vanda,Orchestral,,,,,,,Orchestral,
8,98,1879,Dvanˆct silhouett,12 Silhouettes,for piano,,,,,,,Piano,
0,99,1879,Pra_sk_ val_Íky,Prague Waltzes,Orchestral,,,,,,,Orchestral,
0,100,1879,Polon_za Es dur,Polonaise in E_ major,Orchestral,,,,,,,Orchestral,
54,101,1879,Osm val_Ík_,8 Waltzes,for piano,,,,,,,Piano,
30,102,1880,D_dicov_ bÍl_ hory,The Heirs of the White Mountain,for chorus and orchestra,,,,,,,Choral,
-56,103,1880,_ty_i eklogy,4 Eclogues,for piano,,,,,,,Piano,
55,104,1880,Cigˆnsk_ melodie,Gypsy Songs,for voice and piano,,,,,,,Vocal,
54,105,1880,Dva val_Íky,2 Waltzes,for string quartet,,,,,,,Chamber Music,
57,106,1880,Sonata F dur pro housle a klavÍr,Violin Sonata in F major,for violin and piano,,,,,,,Chamber Music,
32,107,1880,Moravsk_ dvojzp_vy,Moravian Duets,for female chorus,,,,,,,Choral,
53,108,1880,Koncert pro housle a orchestr a moll,Violin Concerto in A minor,for violin and orchestra,,,,,,,Concertante,
0,109,1880,_ty_i lÍstky do pamˆtnÍku,4 Album Leaves,for piano,,,,,,,Piano,
52,110,1880,_est klavÍrnÍch skladeb,6 Piano Pieces,for piano,,,,,,,Piano,
56,111,1880,_est mazurek,6 Mazurkas,for piano,,,,,,,Piano,
60,112,1880,Symfonie _. 6 D dur,Symphony No. 6 in D major,Orchestral,,,,,,,Orchestral,
0,113,1880,D_tskˆ pÍse_,Children's Song,for 2 voices unaccompanied,,,,,,,Vocal,
53a/1,114,1880,Polka pro orchestr ÜPra_sk_m akademik_m–,"Polka ""For Prague Students""",Orchestral,,,,,,,Orchestral,
14,115,1881,Balada Krˆle Matyˆ_e,Ballad of King Matthias,,,,,,,,Opera,
0,116,1881,Moderato A dur,Moderato in A major,for piano,,,,,,,Piano,
59,117,1881,Legendy,Legends,for piano 4-hands,,,,,,,Piano,
0,118,1881,Na tej na_ej st_e_e ...,There on Our Roof ...,"for soprano, alto and piano",,,,,,,Vocal,
53a/2,119,1881,KvapÍk E dur,Gallop in E major,Orchestral,,,,,,,Orchestral,
0,120,1881,KvartetnÍ v_ta F dur,Quartet Movement in F major,"for 2 violins, viola and cello",,,,,,,Chamber Music,
61,121,1881,Smy_cov_ kvartet _. 11 C dur,String Quartet No. 11 in C major,"for 2 violins, viola and cello",,,,,,,Chamber Music,
59,122,1881,Legendy,Legends,Orchestral,,,,,,,Orchestral,
0,123,1881,_est pÍsnÍ na slova Gustava Pflegra Moravsk_ho,6 Songs on Poems by Gustav Pfleger Moravsk_,for voice and piano,,,,,,,Vocal,
0,124,1881,_ty_i pÍsn_ na slova Gustava Pflegra Moravsk_ho,4 Songs on Poems by Gustav Pfleger Moravsk_,for voice and piano,,,,,,,Vocal,
62,125,1881,Josef Kajetˆn Tyl,Josef Kajetˆn Tyl,Orchestral,,,,,,,Orchestral,
62,125a,1882,"Domov m_j, p_edehra ke h_e F. F. _amberka",My Home,Orchestral,,,,,,,Orchestral,
63,126,1882,V p_Írod_,In Nature's Realm,,,,,,,,Choral,
64,127,1881,Dimitrij,Dimitrij,,,,,,,,Opera,
64,127a,1882,"Dimitrij, p_edehra k ope_e",Overture to Dimitrij,Orchestral,,,,,,,Orchestral,
3,128,1882,Dv_ ve_ernÍ pÍsn_,2 Evening Songs,for voice and orchestra,,,,,,,Vocal,
0,128bis,1882,Otˆzka,Question,for piano,,,,,,,Piano,
0,129,1883,Impromptu d moll,Impromptu in D minor,for piano,,,,,,,Piano,
65,130,1883,KlavÍrnÍ trio _. 3 f moll,Piano Trio No. 3 in F minor,"for violin, cello and piano",,,,,,,Chamber Music,
66,131,1883,Scherzo capriccioso,Scherzo capriccioso,Orchestral,,,,,,,Orchestral,
67,132,1883,"Husitskˆ, dramatickˆ ouvertura",Hussite Overture,"Orchestral, for piano duet",,,,,,,Orchestral,
68,133,1883,Ze _umavy,From the Bohemian Forest,for piano 4-hands,,,,,,,Piano,
30,134,1883,D_dicov_ bÍl_ hory,The Heirs of the White Mountain,for chorus and orchestra,,,,,,,Choral,
69,135,1884,SvatebnÍ ko_ile,The Specter's Bride,"for soprano, tenor, bass, chorus and orchestra",,,,,,,Choral,
1-Dec,136,1884,Dumka c moll,Dumka in C minor,for piano,,,,,,,Piano,
2-Dec,137,1879,Furiant g moll,Furiant in G minor,for piano,,,,,,,Piano,
0,138,1884,Humoreska Fis dur,Humoresque in F_ major,for piano,,,,,,,Piano,
15/1,139,1884,Balada d moll pro housle a klavÍr,Ballade in D minor,for violin and piano,,,,,,,Chamber Music,
0,140,1884,Ka_ena divokˆ,The Wild Duck,for voice and piano,,,,,,,Vocal,
70,141,1884,Symfonie _. 7 d moll,Symphony No. 7 in D minor,Orchestral,,,,,,,Orchestral,
0,142,1885,Dv_ pÍsn_,2 Czech Folk Poems,for voice and piano,,,,,,,Vocal,
0,143,1885,Hymna _esk_ho rolnictva,Hymn of the Czech Peasants,for chorus and orchestra,,,,,,,Choral,
71,144,1885,Svatˆ Ludmila,Saint Ludmila,"for soprano, alto, 2 tenors, bass, chorus and orchestra",,,,,,,Choral,
72,145,1886,Slovansk_ tance 2. _ada,"Slavonic Dances, Series II",for piano 4-hands,,,,,,,Piano,
73,146,1886,V nˆrodnÍm t„nu,In Folk Tone,for voice and piano,,,,,,,Vocal,
,,1850,,,,,,,,,,Chamber Music,
72,147,1887,Slovansk_ tance 2. _ada,"Slavonic Dances, Series II",Orchestral,,,,,,,Orchestral,
74,148,1887,Terceto C dur,Terzetto in C major,for 2 violins and viola,,,,,,,Chamber Music,
75a,149,1887,Drobnosti,Miniatures,for 2 violins and viola,,,,,,,Chamber Music,
75,150,1887,Romantick_ kusy pro housle a klavÍr,Romantic Pieces,for violin and piano,,,,,,,Chamber Music,
14,151,1887,Krˆl a uhlÍ_,King and Charcoal Burner,,,,,,,,Opera,
0,152,1865,Cyp_i_e,Cypresses,"for 2 violins, viola and cello",,,,,,,Chamber Music,
86,153,1887,M_e D dur,Mass in D major,"for soprano, alto, tenor, bass, chorus and organ",,,,,,,Choral,
79,154,1887,_alm _. 149,Psalm 149,for mixed chorus and orchestra,,,,,,,Choral,
